id,origin,lon,lat,site,latloncheck
1275,Sala - PEW,24.65,37.605,GYAROS,24.6537.605
1276,Sala - PEW,24.65,37.605,GYAROS,24.6537.605
1277,Sala - PEW,24.65,37.605,GYAROS,24.6537.605
1278,Sala - PEW,24.674,37.6,GYAROS,24.67437.6
1279,Sala - PEW,24.674,37.6,GYAROS,24.67437.6
1280,Sala - PEW,24.674,37.6,GYAROS,24.67437.6
1281,Sala - PEW,24.739,37.633,GYAROS,24.73937.633
1282,Sala - PEW,24.739,37.633,GYAROS,24.73937.633
1283,Sala - PEW,24.739,37.633,GYAROS,24.73937.633
1284,Sala - PEW,24.705,37.629,GYAROS,24.70537.629
1285,Sala - PEW,24.705,37.629,GYAROS,24.70537.629
1286,Sala - PEW,24.705,37.629,GYAROS,24.70537.629
1287,Sala - PEW,24.68,37.609,GYAROS,24.6837.609
1288,Sala - PEW,24.68,37.609,GYAROS,24.6837.609
1289,Sala - PEW,24.68,37.609,GYAROS,24.6837.609
1290,Sala - PEW,26.823,35.879,KARPATHOS,26.82335.879
1291,Sala - PEW,26.823,35.879,KARPATHOS,26.82335.879
1292,Sala - PEW,26.823,35.879,KARPATHOS,26.82335.879
1293,Sala - PEW,26.823,35.875,KARPATHOS,26.82335.875
1294,Sala - PEW,26.823,35.875,KARPATHOS,26.82335.875
1295,Sala - PEW,26.823,35.875,KARPATHOS,26.82335.875
1296,Sala - PEW,27.236,35.868,KARPATHOS,27.23635.868
1297,Sala - PEW,27.236,35.868,KARPATHOS,27.23635.868
1298,Sala - PEW,27.236,35.868,KARPATHOS,27.23635.868
1299,Sala - PEW,27.238,35.861,KARPATHOS,27.23835.861
1300,Sala - PEW,27.238,35.861,KARPATHOS,27.23835.861
1301,Sala - PEW,27.238,35.861,KARPATHOS,27.23835.861
1302,Sala - PEW,27.207,35.828,KARPATHOS,27.20735.828
1303,Sala - PEW,27.207,35.828,KARPATHOS,27.20735.828
1304,Sala - PEW,27.207,35.828,KARPATHOS,27.20735.828
1305,Sala - PEW,27.239,35.83,KARPATHOS,27.23935.83
1306,Sala - PEW,27.239,35.83,KARPATHOS,27.23935.83
1307,Sala - PEW,27.239,35.83,KARPATHOS,27.23935.83
1308,Sala - PEW,29.617,36.151,KAS,29.61736.151
1309,Sala - PEW,29.617,36.151,KAS,29.61736.151
1310,Sala - PEW,29.617,36.151,KAS,29.61736.151
1311,Sala - PEW,29.662,36.141,KAS,29.66236.141
1312,Sala - PEW,29.662,36.141,KAS,29.66236.141
1313,Sala - PEW,29.662,36.141,KAS,29.66236.141
1314,Sala - PEW,29.639,36.182,KAS,29.63936.182
1315,Sala - PEW,29.639,36.182,KAS,29.63936.182
1316,Sala - PEW,29.639,36.182,KAS,29.63936.182
1317,Sala - PEW,29.629,36.163,KAS,29.62936.163
1318,Sala - PEW,29.629,36.163,KAS,29.62936.163
1319,Sala - PEW,29.629,36.163,KAS,29.62936.163
1320,Sala - PEW,29.605,36.188,KAS,29.60536.188
1321,Sala - PEW,29.605,36.188,KAS,29.60536.188
1322,Sala - PEW,29.605,36.188,KAS,29.60536.188
1323,Sala - PEW,29.63,36.152,KAS,29.6336.152
1324,Sala - PEW,29.63,36.152,KAS,29.6336.152
1325,Sala - PEW,29.63,36.152,KAS,29.6336.152
1326,Sala - PEW,24.615,36.754,KIMOLOS,24.61536.754
1327,Sala - PEW,24.615,36.754,KIMOLOS,24.61536.754
1328,Sala - PEW,24.615,36.754,KIMOLOS,24.61536.754
1329,Sala - PEW,24.634,36.744,KIMOLOS,24.63436.744
1330,Sala - PEW,24.634,36.744,KIMOLOS,24.63436.744
1331,Sala - PEW,24.634,36.744,KIMOLOS,24.63436.744
1332,Sala - PEW,24.658,36.748,KIMOLOS,24.65836.748
1333,Sala - PEW,24.658,36.748,KIMOLOS,24.65836.748
1334,Sala - PEW,24.658,36.748,KIMOLOS,24.65836.748
1335,Sala - PEW,24.667,36.751,KIMOLOS,24.66736.751
1336,Sala - PEW,24.667,36.751,KIMOLOS,24.66736.751
1337,Sala - PEW,24.667,36.751,KIMOLOS,24.66736.751
1338,Sala - PEW,24.548,36.755,KIMOLOS,24.54836.755
1339,Sala - PEW,24.548,36.755,KIMOLOS,24.54836.755
1340,Sala - PEW,24.548,36.755,KIMOLOS,24.54836.755
1341,Sala - PEW,24.547,36.707,KIMOLOS,24.54736.707
1342,Sala - PEW,24.547,36.707,KIMOLOS,24.54736.707
1343,Sala - PEW,24.547,36.707,KIMOLOS,24.54736.707
1344,Sala - PEW,15.743,39.932,MARATEA,15.74339.932
1345,Sala - PEW,15.743,39.932,MARATEA,15.74339.932
1346,Sala - PEW,15.743,39.932,MARATEA,15.74339.932
1347,Sala - PEW,15.732,39.943,MARATEA,15.73239.943
1348,Sala - PEW,15.732,39.943,MARATEA,15.73239.943
1349,Sala - PEW,15.732,39.943,MARATEA,15.73239.943
1350,Sala - PEW,15.699,39.991,MARATEA,15.69939.991
1351,Sala - PEW,15.699,39.991,MARATEA,15.69939.991
1352,Sala - PEW,15.699,39.991,MARATEA,15.69939.991
1353,Sala - PEW,15.674,40.017,MARATEA,15.67440.017
1354,Sala - PEW,15.674,40.017,MARATEA,15.67440.017
1355,Sala - PEW,15.674,40.017,MARATEA,15.67440.017
1356,Sala - PEW,15.66,40.038,MARATEA,15.6640.038
1357,Sala - PEW,15.66,40.038,MARATEA,15.6640.038
1358,Sala - PEW,15.66,40.038,MARATEA,15.6640.038
1359,Sala - PEW,15.65,40.038,MARATEA,15.6540.038
1360,Sala - PEW,15.65,40.038,MARATEA,15.6540.038
1361,Sala - PEW,15.65,40.038,MARATEA,15.6540.038
1362,Sala - PEW,3.22,42.049,MEDES,3.2242.049
1363,Sala - PEW,3.22,42.049,MEDES,3.2242.049
1364,Sala - PEW,3.22,42.049,MEDES,3.2242.049
1365,Sala - PEW,3.225,42.044,MEDES,3.22542.044
1366,Sala - PEW,3.225,42.044,MEDES,3.22542.044
1367,Sala - PEW,3.225,42.044,MEDES,3.22542.044
1368,Sala - PEW,3.227,42.041,MEDES,3.22742.041
1369,Sala - PEW,3.227,42.041,MEDES,3.22742.041
1370,Sala - PEW,3.227,42.041,MEDES,3.22742.041
1371,Sala - PEW,3.225,42.042,MEDES,3.22542.042
1372,Sala - PEW,3.225,42.042,MEDES,3.22542.042
1373,Sala - PEW,3.225,42.042,MEDES,3.22542.042
1374,Sala - PEW,3.225,42.043,MEDES,3.22542.043
1375,Sala - PEW,3.225,42.043,MEDES,3.22542.043
1376,Sala - PEW,3.225,42.043,MEDES,3.22542.043
1377,Sala - PEW,3.223,42.049,MEDES,3.22342.049
1378,Sala - PEW,3.223,42.049,MEDES,3.22342.049
1379,Sala - PEW,3.223,42.049,MEDES,3.22342.049
1380,Sala - PEW,3.186,42.1,MONTGRI,3.18642.1
1381,Sala - PEW,3.186,42.1,MONTGRI,3.18642.1
1382,Sala - PEW,3.186,42.1,MONTGRI,3.18642.1
1383,Sala - PEW,3.189,42.096,MONTGRI,3.18942.096
1384,Sala - PEW,3.189,42.096,MONTGRI,3.18942.096
1385,Sala - PEW,3.189,42.096,MONTGRI,3.18942.096
1386,Sala - PEW,3.195,42.087,MONTGRI,3.19542.087
1387,Sala - PEW,3.195,42.087,MONTGRI,3.19542.087
1388,Sala - PEW,3.195,42.087,MONTGRI,3.19542.087
1389,Sala - PEW,3.197,42.085,MONTGRI,3.19742.085
1390,Sala - PEW,3.197,42.085,MONTGRI,3.19742.085
1391,Sala - PEW,3.197,42.085,MONTGRI,3.19742.085
1392,Sala - PEW,3.205,42.073,MONTGRI,3.20542.073
1393,Sala - PEW,3.205,42.073,MONTGRI,3.20542.073
1394,Sala - PEW,3.205,42.073,MONTGRI,3.20542.073
1395,Sala - PEW,3.21,42.067,MONTGRI,3.2142.067
1396,Sala - PEW,3.21,42.067,MONTGRI,3.2142.067
1397,Sala - PEW,3.21,42.067,MONTGRI,3.2142.067
1398,Sala - PEW,18.507,40.144,OTRANTO,18.50740.144
1399,Sala - PEW,18.507,40.144,OTRANTO,18.50740.144
1400,Sala - PEW,18.507,40.144,OTRANTO,18.50740.144
1401,Sala - PEW,18.516,40.137,OTRANTO,18.51640.137
1402,Sala - PEW,18.516,40.137,OTRANTO,18.51640.137
1403,Sala - PEW,18.516,40.137,OTRANTO,18.51640.137
1404,Sala - PEW,18.517,40.133,OTRANTO,18.51740.133
1405,Sala - PEW,18.517,40.133,OTRANTO,18.51740.133
1406,Sala - PEW,18.517,40.133,OTRANTO,18.51740.133
1407,Sala - PEW,18.518,40.111,OTRANTO,18.51840.111
1408,Sala - PEW,18.518,40.111,OTRANTO,18.51840.111
1409,Sala - PEW,18.518,40.111,OTRANTO,18.51840.111
1410,Sala - PEW,18.52,40.106,OTRANTO,18.5240.106
1411,Sala - PEW,18.52,40.106,OTRANTO,18.5240.106
1412,Sala - PEW,18.52,40.106,OTRANTO,18.5240.106
1413,Sala - PEW,18.51,40.099,OTRANTO,18.5140.099
1414,Sala - PEW,18.51,40.099,OTRANTO,18.5140.099
1415,Sala - PEW,18.51,40.099,OTRANTO,18.5140.099
1416,Sala - PEW,17.895,40.247,PORTO CESAREO,17.89540.247
1417,Sala - PEW,17.895,40.247,PORTO CESAREO,17.89540.247
1418,Sala - PEW,17.895,40.247,PORTO CESAREO,17.89540.247
1419,Sala - PEW,17.902,40.242,PORTO CESAREO,17.90240.242
1420,Sala - PEW,17.902,40.242,PORTO CESAREO,17.90240.242
1421,Sala - PEW,17.902,40.242,PORTO CESAREO,17.90240.242
1422,Sala - PEW,17.906,40.237,PORTO CESAREO,17.90640.237
1423,Sala - PEW,17.906,40.237,PORTO CESAREO,17.90640.237
1424,Sala - PEW,17.906,40.237,PORTO CESAREO,17.90640.237
1425,Sala - PEW,17.918,40.212,PORTO CESAREO,17.91840.212
1426,Sala - PEW,17.918,40.212,PORTO CESAREO,17.91840.212
1427,Sala - PEW,17.918,40.212,PORTO CESAREO,17.91840.212
1428,Sala - PEW,17.917,40.198,PORTO CESAREO,17.91740.198
1429,Sala - PEW,17.917,40.198,PORTO CESAREO,17.91740.198
1430,Sala - PEW,17.917,40.198,PORTO CESAREO,17.91740.198
1431,Sala - PEW,17.918,40.193,PORTO CESAREO,17.91840.193
1432,Sala - PEW,17.918,40.193,PORTO CESAREO,17.91840.193
1433,Sala - PEW,17.918,40.193,PORTO CESAREO,17.91840.193
1434,Sala - PEW,24.327,39.333,PIPERI,24.32739.333
1435,Sala - PEW,24.327,39.333,PIPERI,24.32739.333
